CC_CARD	FREDAYS	WEB	Sales per Visit
0	221	0	177
1	113	0	61.986667
1	92.85	0	147.522857
1	338.5	0	89.04
0	199	0	259.97
0	646	0	148.99
1	22.12	0	117.906129
0	136	0	57.87
0	272	0	71.49
0	75.22	0	33.333333
0	317	0	109.98
1	58	1	86.055833
0	339	0	30
1	335	0	41.745
0	117	0	62.99
0	467	0	130
0	177	0	135.163333
1	258	0	75.73
0	102	0	80.78
1	131.2	1	125.876
0	92.33	0	116.3
0	281	0	199.98
0	180	0	248.495
1	256.5	0	68.34
1	63.45	1	153.065455
0	275	0	53.475
0	99.66	0	98.5
0	126.6	0	49.698
1	63	1	72.444
0	89.75	0	59.99
0	83.5	0	54.5
0	236	0	173.96
0	248	0	97.48
0	91.33	0	102.99
0	46.58	0	83.690833
1	66.66	0	181.713333
0	208	0	54.636667
1	97.66	0	19.326667
1	339	0	115.735
1	36.94	0	77.749474
1	94.16	0	83.728333
0	298	0	29.99
0	152	0	43.49
0	151	0	55.5
0	132	0	108
1	56.9	0	39.771818
1	127.8	0	56.384
0	217	0	129.99
1	49.85	0	101.524286
0	86.33	0	75.165
0	78	0	107.18
1	97.57	0	54.955714
1	83	0	96.59
0	290.5	0	126.74
1	177	0	128.44
0	214.33	0	82.08
1	126.5	0	195.785
0	192	0	192
0	83.25	0	20.4675
1	140	0	49.485
1	332	0	111.98
0	68.5	0	46.5
1	42.84	0	110.834615
0	242	0	83.98
1	348.5	0	39.495
0	100.5	0	56
0	120.5	0	54.485
1	33.72	0	91.899444
0	97.5	0	34
0	72.5	0	130.5525
1	233	0	68
1	57	0	126.678333
0	101	0	195.995
1	20.3	0	75.780909
0	131.5	0	76.975
0	41	0	82.99
1	66.16	0	64.65
1	63.81	0	83.490909
1	83	0	47.58
0	81.75	0	175.46375
1	181.33	0	248.993333
1	633	0	73.8
0	146.5	0	72.48
0	49	0	140.96
1	184	0	147.656667
0	230.33	0	39.746667
0	158.5	0	100.495
0	66.25	0	103
1	52.46	0	34.962308
0	231.33	0	97.97
1	56.5	0	70.438333
0	60	0	47.475
1	25.06	0	42.324375
0	266	0	38.5
1	115	0	82.296
1	25.81	0	156.396364
0	479	0	51
1	54.08	0	76.638333
0	148	0	66
1	233	0	70.793333
0	50.57	0	253.852857
1	135.4	0	106.184
1	112.83	0	92.488333
1	31.5	0	235.625
0	639	0	48.98
1	537	0	129.99
1	96.71	0	209.748571
1	269	0	79.995
1	242	0	255.105
0	122	0	15.192
0	130	0	59.99
1	77.55	0	88.888889
1	141.66	0	48.64
0	327	0	133.96
0	282	0	199.99
0	201	0	265
1	87.25	0	73.48625
1	67.6	0	89.087
0	291	0	219
0	334	0	68.495
1	60	0	69.788333
1	88.71	0	163.691429
0	42.87	0	104.18
1	58.16	0	159.505833
0	244	0	255.975
0	73.33	0	52.963333
1	262	0	61.615
0	39.58	1	163.703333
1	288.5	0	147.995
0	233.5	0	137.975
0	117	0	149.98
0	135.4	0	220.316
0	357	0	128
1	572	0	216.25
0	167	0	88
0	124	0	69.384
1	26.61	0	31.5
1	109	1	70.91
0	309	0	188
0	125	0	26
1	76.88	0	44.55
1	172	0	138.323333
0	572	0	34
1	96.71	0	66.232857
1	113	0	167.206667
1	116.2	0	115.35
1	338.5	0	10.25
0	136	0	54.115
1	27.32	0	85.2292
1	140	0	29.846
0	106	0	151.98
0	347	0	85.99
0	128.25	0	91.915
0	54	0	36.913333
0	65.14	0	61.154286
1	225	0	51.49
1	38.81	0	32.8275
0	68	0	83.782
0	147	0	93.99
0	206	0	98
1	95.57	0	88.427143
0	149	0	38
0	83	0	119.97
0	344	0	80.25
0	290	0	67.5
0	104	0	92.99
0	677	0	156.72
0	75.42	0	52.202857
0	167.33	0	52.66
0	347	0	97
0	193.66	0	35.666667
1	34.5	0	72.6325
1	338	0	95.4
0	226	0	85.99
0	109.16	0	42.323333
1	34.38	0	66.538333
0	98.66	0	61.51
1	21	0	271.49
0	262	0	186.235
1	23.21	0	78.92
1	80.14	0	90.638571
0	126.75	0	75.8625
0	283	0	74.48
1	113	0	96.851667
0	586	0	695.86
0	287	0	103
0	177	0	198
1	67	0	122.646667
0	362	0	89
0	258	0	80.75
0	373	0	156.98
0	159.5	0	17.14
0	348	0	129.99
1	179.33	0	73.833333
0	327	0	98
0	304	0	80
0	90	0	154.495
0	292	0	99
1	23	0	113.85
0	44.62	0	15.5
0	490	0	73
1	150.5	0	37.35
1	261	0	47.49
0	352	0	347.99
1	67.5	0	62.17
1	76.66	0	139.01
0	81.66	1	86.903333
1	49	0	77.994545
1	155	0	174.6
0	153	0	42.875
0	91.71	0	37.06
